pl_name;Nombre_etoile;Nombre_planete;Méthode ;Orbite;Rayon;Masse terrienne;Eccentricité;Insolation;pl_eqt;Inclinaison;Température_etoile;Masse_etoile;Luminosité;Distance
BD-11 4672 b;1;2;Radial Velocity;1634.00000000;;;0.050000;;;;4550.00;0.65;-0.804;27.1665000
BD-11 4672 c;1;2;Radial Velocity;74.20000000;;;0.400000;;;;4550.00;0.65;-0.804;27.1665000
BD-13 2130 b;1;1;Radial Velocity;714.29999000;;;0.210000;;;;4545.00;2.12;;925.2140000
BD-13 2130 b;1;1;Radial Velocity;714.30000000;;;0.210000;;;;;2.40;;925.2140000
BD-14 3065 b;3;1;Transit;4.28896960;20.711;;;646.76;1404;;6736.90;;;589.4230000
BD-14 3065 b;3;1;Transit;4.28897310;21.590;3932.00000;0.066000;;2001;80.780;6935.00;1.41;1.060;589.4230000
BD-17 63 b;1;1;Radial Velocity;655.60000000;;;0.540000;;;;4714.00;0.74;-0.678;34.4603000
BD-17 63 b;1;1;Radial Velocity;649.00000000;;1366.66215;0.280000;;;80.000;;;;34.4603000
BD-17 63 b;1;1;Radial Velocity;655.59998000;;;0.540000;;;;4665.00;0.31;;34.4603000
BD-17 63 b;1;1;Radial Velocity;655.57000000;;1639.99458;0.543900;;;;;0.74;;34.4603000
BD-210397 b;1;2;Radial Velocity;1891.00000000;;;0.100000;0.02;;;4051.00;0.68;-0.870;23.7324000
BD-210397 c;1;2;Radial Velocity;6360.00000000;;;0.100000;0.00;;;4051.00;0.68;-0.870;23.7324000
BD-210397 c;1;2;Radial Velocity;6240.00000000;;1525.57635;0.430000;;;33.000;;0.69;;23.7324000
Barnard b;1;1;Radial Velocity;3.15330000;;;0.160000;6.76;400;;3195.00;0.16;-2.450;1.8265500
CD Cet b;1;1;Radial Velocity;2.29070000;;;;8.60;464;87.480;3130.00;0.16;-2.533;8.6071500
CFBDSIR J145829+101343 b;1;1;Imaging;10037.50000000;;3337.10000;;;370;;580.50;0.02;;
CFHTWIR-Oph 98 b;1;1;Imaging;8040000.00000000;20.849;2479.06157;;;1800;;2320.00;0.01;-2.850;
CHXR 73 b;1;1;Imaging;;;3994.48600;;;;;;0.35;;190.3740000
CI Tau c;1;1;Radial Velocity;25.20000000;;;0.580000;;;;;;;157.9980000
COCONUTS-2 b;1;1;Imaging;402000000.00000000;12.442;2002.31896;;;434;;3406.00;0.37;-1.732;10.8864000
CT Cha b;1;1;Imaging;;24.660;5403.00000;;;2600;;;;;190.7200000
CoRoT-1 b;1;1;Transit;1.50895570;16.589;359.14790;0.000000;;;86.700;5950.00;1.03;;787.9090000
CoRoT-1 b;1;1;Transit;1.50896860;17.385;327.36490;;;1915;84.420;5950.00;0.95;;787.9090000
CoRoT-1 b;1;1;Transit;1.50897655;15.917;340.07810;0.071000;;1834;85.660;5950.00;;;787.9090000
CoRoT-1 b;1;1;Transit;1.50895570;16.700;327.35000;0.000000;;1898;85.100;5950.00;0.95;;787.9090000
CoRoT-1 b;1;1;Transit;1.50896820;19.223;390.93090;0.036000;;;85.100;6298.00;1.22;;787.9090000
CoRoT-1 b;1;1;Transit;1.50896350;20.594;;;2852.63;2036;;5950.00;;;787.9090000
CoRoT-1 b;1;1;Transit;1.50896877;;;;;;;;;;787.9090000
CoRoT-10 b;1;1;Transit;13.24060000;10.870;874.00000;0.530000;;600;88.550;5075.00;0.89;;338.3860000
CoRoT-10 b;1;1;Transit;13.24060000;10.548;883.56740;;;647;88.570;5075.00;0.90;;338.3860000
CoRoT-10 b;1;1;Transit;13.24060000;10.873;867.67590;0.524000;;;88.550;5075.00;0.89;;338.3860000
CoRoT-11 b;1;1;Transit;2.99432500;15.581;791.39670;0.000000;;1715;83.410;;1.23;;655.0370000
CoRoT-11 b;1;1;Transit;2.99433000;16.030;740.51000;0.000000;;1657;83.170;6440.00;1.27;;655.0370000
CoRoT-11 b;1;1;Transit;2.99433000;15.984;743.72220;;;1735;83.130;6440.00;1.26;;655.0370000
CoRoT-11 b;1;1;Transit;;;;;;;;6343.00;1.56;;655.0370000
CoRoT-11 b;1;1;Transit;2.99432500;16.029;832.71460;0.360000;;;83.170;6440.00;1.27;;655.0370000
CoRoT-11 b;1;1;Transit;2.99328197;21.746;;;1890.65;1682;;6343.00;;;655.0370000
CoRoT-11 b;1;1;Transit;2.99427803;;;;;;83.170;6440.00;1.27;;655.0370000
CoRoT-12 b;1;1;Transit;2.82804200;15.132;281.91521;;;1410;85.790;5675.00;1.02;;1126.3700000
CoRoT-12 b;1;1;Transit;2.82804100;;;;;;;5675.00;1.08;;1126.3700000
CoRoT-12 b;1;1;Transit;2.82803915;17.760;;;661.13;1293;;5675.00;;;1126.3700000
CoRoT-12 b;1;1;Transit;2.82805268;15.065;277.46559;;;1417;85.710;;1.00;0.070;1126.3700000
CoRoT-12 b;1;1;Transit;2.82804200;16.140;291.43800;0.070000;;1442;85.480;5675.00;1.08;;1126.3700000
